19,877,233
55,347,223
40,914,251
32,458,499
40,627,053
37,046,031
99,122,667
115,577,772
33,465,227
24,583,759
19,279,530
21,819,781
22,311,474
236,915,437
177,936,452
98,682,785
300,637,815
120,426,135
101,998,707
407,573,881
404,945,960
113,527,007
89,681,503
80,429,172
104,128,621
138,021,269
429,550,239
61,100,191
68,458,832
85,371,954
55,167,791
60,171,258
83,538,662
45,033,228
35,501,203
35,945,658
43,015,492
481,985,55
73,160,366
913,771,342
75,133,952
151,239,298
45,061,014
66,747,659
131,136,361
29,853,585
53,690,150
69,882,975
66,252,871
27,800,655
76,639,324
55,268,102
120,989,203
21,351,283
17,635,270
27,557,623
27,707,733
18,825,730
12,628,024
15,512,336
18,870,794
13,855,762
8,771,652
38,233,686
20,376,802
53,243,657
109,898,378
901,017,092
148,758,573
171,268,150
2,023,090,608
381,932,538
110,972,777
318,361,785
175,183,750
103,249,151
100,321,250
71,585,439
86,140,212
101,722,873
138,045,639
1,053,303,170
191,997,065
66,678,937
110,011,420
126,047,788
1,248,008,708
440,800,887
103,057,244
69,062,000
55,142,139
182,125,074
122,108,396
1,164,159,430
111,958,608
221,315,408
139,465,394
219,633,431
133,158,823
325,928,811
79,978,901
504,337,016
136,142,443
81,491,916
435,814,759
156,538,196
75,463,216
89,293,125
73,488,422
73,575,787
866,757,963
109,482,348
309,622,367
87,209,998
125,833,445
113,215,850
268,326,660
165,798,818
96,043,647
149,715,833
171,411,889
88,207,452
258,213,367
720,449,828
2,421,937,928
155,458,999
243,302,592
343,449,461
918,392,037
74,921,132
236,883,298
83,229,412
1,119,474,832
113,261,713
196,449,254
96,678,985
141,935,641
109,350,415
81,278,885
80,070,169
78,214,059
741,215,544
99,681,037
53,215,614
346,329,519
413,116,451
238,997,467
359,420,196
135,376,131
82,132,429
156,802,270
101,661,133
128,481,586
72,372,945
97,681,464
106,511,809
93,719,182
98,729,447
70,429,620
277,760,926
57,299,395
88,186,208
132,402,726
409,670,262
110,895,266
109,170,363
158,881,240
354,688,369
754,686,843
77,910,751
138,520,839
65,090,344
159,818,205
216,700,079
113,734,827
320,437,787
76,639,324
102,441,905
169,851,480
441,348,969
261,531,484
463,655,867
457,939,503
53,877,470
88,179,746
69,814,469
212,178,159
66,185,107
89,051,401
185,714,507
69,994,951
75,457,489
237,291,822
122,301,245
44,602,913
414,668,337
41,538,478
24,703,314
33,930,508
170,626,997
42,074,459
153,685,815
75,913,081
51,121,900
36,301,231
26,984,249
67,936,807
15,110,166
125,049,551
32,317,048
440,513,458
27,210,339
48,746,623
38,752,795
14,9 04,877
39,849,727
28,869,058
11,860,542
12,316,056
23,548,534
440,513,458
11,194,496
61,533,648
12,407,172
17,797,665
18,987,207
7,312,450
20,265,804
13,699,460
